model,model_id,type,recommended,accuracy,precision,recall,f1,roc_auc,threshold,tp,fp,fn,tn,visitors_impacted,benefit_tp_usd,cost_fp_usd,cost_fn_usd,value_tn_usd,intervention_cost_usd,net_value_usd,roi_pct,average_purchase_usd,gross_margin_pct,incentive_cost_usd,contact_cost_usd,uplift_pct,false_negative_cost_usd,true_negative_value_usd,is_best_value_threshold,is_best_f1_threshold
LightGBM,lightgbm_tuned,tuned,False,0.9037279803359279,0.7525773195876289,0.5732984293193717,0.6508172362555721,0.9353909156328111,0.77,219,72,163,1987,291,4905.599999999999,-720.0,-9780.0,0.0,2910.0,-5594.400000000001,-192.2474226804124,180.0,0.45,8.0,2.0,0.4,60.0,0.0,False,False
LightGBM,lightgbm_tuned,tuned,False,0.9045473166734944,0.7651245551601423,0.56282722513089,0.6485671191553545,0.9353909156328111,0.78,215,66,167,1993,281,4816.0,-660.0,-10020.0,0.0,2810.0,-5864.0,-208.6832740213523,180.0,0.45,8.0,2.0,0.4,60.0,0.0,False,False
LightGBM,lightgbm_tuned,tuned,False,0.9045473166734944,0.7811320754716982,0.5418848167539267,0.6398763523956723,0.9353909156328111,0.79,207,58,175,2001,265,4636.799999999999,-580.0,-10500.0,0.0,2650.0,-6443.200000000001,-243.13962264150945,180.0,0.45,8.0,2.0,0.4,60.0,0.0,False,False
LightGBM,lightgbm_tuned,tuned,False,0.905366653011061,0.8032128514056225,0.5235602094240838,0.6339144215530903,0.9353909156328111,0.8,200,49,182,2010,249,4480.0,-490.0,-10920.0,0.0,2490.0,-6930.0,-278.31325301204816,180.0,0.45,8.0,2.0,0.4,60.0,0.0,False,False
LightGBM,lightgbm_tuned,tuned,False,0.9020893076607948,0.8016877637130801,0.4973821989528796,0.6138933764135702,0.9353909156328111,0.81,190,47,192,2012,237,4256.0,-470.0,-11520.0,0.0,2370.0,-7734.0,-326.32911392405066,180.0,0.45,8.0,2.0,0.4,60.0,0.0,False,False
LightGBM,lightgbm_tuned,tuned,False,0.9016796394920115,0.8114035087719298,0.48429319371727747,0.6065573770491803,0.9353909156328111,0.82,185,43,197,2016,228,4144.0,-430.0,-11820.0,0.0,2280.0,-8106.0,-355.5263157894737,180.0,0.45,8.0,2.0,0.4,60.0,0.0,False,False
LightGBM,lightgbm_tuned,tuned,False,0.899631298648095,0.8071748878923767,0.4712041884816754,0.5950413223140496,0.9353909156328111,0.83,180,43,202,2016,223,4031.9999999999995,-430.0,-12120.0,0.0,2230.0,-8518.0,-381.9730941704036,180.0,0.45,8.0,2.0,0.4,60.0,0.0,False,False
LightGBM,lightgbm_tuned,tuned,False,0.8959442851290454,0.8047619047619048,0.4424083769633508,0.5709459459459459,0.9353909156328111,0.84,169,41,213,2018,210,3785.6,-410.0,-12780.0,0.0,2100.0,-9404.4,-447.82857142857137,180.0,0.45,8.0,2.0,0.4,60.0,0.0,False,False
LightGBM,lightgbm_tuned,tuned,False,0.8947152806226956,0.8272251308900523,0.41361256544502617,0.5514834205933682,0.9353909156328111,0.85,158,33,224,2026,191,3539.2,-330.0,-13440.0,0.0,1910.0,-10230.8,-535.6439790575915,180.0,0.45,8.0,2.0,0.4,60.0,0.0,False,False
LightGBM,lightgbm_tuned,tuned,False,0.8930766079475625,0.8457142857142858,0.387434554973822,0.5314183123877917,0.9353909156328111,0.86,148,27,234,2032,175,3315.2,-270.0,-14040.0,0.0,1750.0,-10994.8,-628.2742857142857,180.0,0.45,8.0,2.0,0.4,60.0,0.0,False,False
LightGBM,lightgbm_tuned,tuned,False,0.8848832445718967,0.8389261744966443,0.32722513089005234,0.4708097928436911,0.9353909156328111,0.87,125,24,257,2035,149,2800.0,-240.0,-15420.0,0.0,1490.0,-12860.0,-863.0872483221477,180.0,0.45,8.0,2.0,0.4,60.0,0.0,False,False
LightGBM,lightgbm_tuned,tuned,False,0.8840639082343302,0.8666666666666667,0.306282722513089,0.4526112185686654,0.9353909156328111,0.88,117,18,265,2041,135,2620.7999999999997,-180.0,-15900.0,0.0,1350.0,-13459.2,-996.9777777777779,180.0,0.45,8.0,2.0,0.4,60.0,0.0,False,False
LightGBM,lightgbm_tuned,tuned,False,0.8803768947152806,0.8879310344827587,0.2696335078534031,0.41365461847389556,0.9353909156328111,0.89,103,13,279,2046,116,2307.2,-130.0,-16740.0,0.0,1160.0,-14562.8,-1255.4137931034481,180.0,0.45,8.0,2.0,0.4,60.0,0.0,False,False
LightGBM,lightgbm_tuned,tuned,False,0.876689881196231,0.8932038834951457,0.24083769633507854,0.37938144329896906,0.9353909156328111,0.9,92,11,290,2048,103,2060.7999999999997,-110.0,-17400.0,0.0,1030.0,-15449.2,-1499.9223300970873,180.0,0.45,8.0,2.0,0.4,60.0,0.0,False,False
LightGBM,lightgbm_tuned,tuned,False,0.8725931995083982,0.898876404494382,0.2094240837696335,0.33970276008492567,0.9353909156328111,0.91,80,9,302,2050,89,1792.0,-90.0,-18120.0,0.0,890.0,-16418.0,-1844.7191011235955,180.0,0.45,8.0,2.0,0.4,60.0,0.0,False,False
LightGBM,lightgbm_tuned,tuned,False,0.870954526833265,0.9036144578313253,0.19633507853403143,0.3225806451612903,0.9353909156328111,0.92,75,8,307,2051,83,1680.0,-80.0,-18420.0,0.0,830.0,-16820.0,-2026.5060240963855,180.0,0.45,8.0,2.0,0.4,60.0,0.0,False,False
LightGBM,lightgbm_tuned,tuned,False,0.8676771814829988,0.927536231884058,0.16753926701570682,0.2838137472283814,0.9353909156328111,0.93,64,5,318,2054,69,1433.6,-50.0,-19080.0,0.0,690.0,-17696.4,-2564.695652173913,180.0,0.45,8.0,2.0,0.4,60.0,0.0,False,False
LightGBM,lightgbm_tuned,tuned,False,0.8615321589512495,0.9230769230769231,0.1256544502617801,0.22119815668202766,0.9353909156328111,0.94,48,4,334,2055,52,1075.1999999999998,-40.0,-20040.0,0.0,520.0,-19004.8,-3654.769230769231,180.0,0.45,8.0,2.0,0.4,60.0,0.0,False,False
LightGBM,lightgbm_tuned,tuned,False,0.8541581319131504,0.9333333333333333,0.07329842931937172,0.13592233009708737,0.9353909156328111,0.95,28,2,354,2057,30,627.1999999999999,-20.0,-21240.0,0.0,300.0,-20632.8,-6877.599999999999,180.0,0.45,8.0,2.0,0.4,60.0,0.0,False,False
