model,phase,cv_folds,train_accuracy,train_accuracy_std,cv_accuracy,cv_accuracy_std,train_precision,train_precision_std,cv_precision,cv_precision_std,train_recall,train_recall_std,cv_recall,cv_recall_std,train_f1,train_f1_std,cv_f1,cv_f1_std,train_roc_auc,train_roc_auc_std,cv_roc_auc,cv_roc_auc_std
xgboost_initial,advanced_initial,5,0.9199354527989497,0.0012337954359190847,0.9013727829400754,0.004845500113197899,0.7373355517501599,0.005584328380905282,0.6789798376508456,0.018143796111061927,0.7576995475356132,0.005382056704705565,0.7011764705882353,0.0238049534932271,0.7473552617595464,0.003514805055996431,0.6895868985354668,0.014956405685646688,0.958591528802622,0.0009722724371548626,0.9292014565726392,0.005828247839198197
random_forest,baseline,5,1.0,0.0,0.897685832221131,0.006019752751363618,1.0,0.0,0.6599039325461922,0.02056632618851732,1.0,0.0,0.7142890817529197,0.025219087996201494,1.0,0.0,0.6857180461759894,0.017595918635475504,1.0,4.965068306494546e-17,0.9268728381989961,0.004819534891947622
lightgbm_initial,advanced_initial,5,0.9707087035672446,0.0008667692020026268,0.900143537055224,0.0032819469329630133,0.9312081504305132,0.0059791535499185335,0.6922294237606895,0.013436626767069372,0.8774569353257877,0.00460487344050767,0.6507210971820423,0.015026131749363437,0.9035109971350659,0.0027293402133395177,0.6706925166668358,0.010572057394956695,0.9933627483275911,0.0003509458228929073,0.9274475416538064,0.005875643355912933
svm,baseline,5,0.8985046951851418,0.002474405162192789,0.869316488714294,0.004973706675198528,0.6293434550465833,0.00677284243393977,0.562529083267328,0.012095867361870388,0.8532115573099178,0.0038694914304815775,0.7372356155576985,0.030013810339791922,0.7243626352585395,0.005511805399115918,0.6379418677960966,0.016263043620424505,0.9466952074161356,0.0014689210902528065,0.8941538828712112,0.0075978627477386864
logistic_regression,baseline,5,0.8471168739871686,0.0022385290282038307,0.8438153156556119,0.008156745764652786,0.5071625005302485,0.004837329769500923,0.5005897312029903,0.01729901749585199,0.778178998670802,0.004369476031581407,0.763445837351334,0.02041731338507128,0.6140700826166364,0.002814421514587886,0.604539855076485,0.016576592516043463,0.9069016904026208,0.002289814456892134,0.8962767863843603,0.00990416517434869
decision_tree,baseline,5,1.0,0.0,0.8547728693980676,0.006815621193165077,1.0,0.0,0.5308170212562144,0.018141039601155352,1.0,0.0,0.6022650808957463,0.03730725525065556,1.0,0.0,0.5641308347750006,0.026117160413863503,1.0,0.0,0.7519096226390887,0.019007463093910413
knn,baseline,5,0.849703026237566,0.0036788665711293272,0.7499994229138862,0.005981691214695515,0.5099229311756772,0.006110439971735539,0.35457599865262196,0.0069189782889334485,0.9924631785287523,0.0025623797333579577,0.7306418086360227,0.02729096364684186,0.6736775205238265,0.005307827459087702,0.4773097906640424,0.009861432110685834,0.9910474714595111,0.0005435992908984487,0.8032551412200537,0.012573065433267333
