scenario,visitor_type,model,version,threshold,segment_size,buyers,predicted_positive,tn,fp,fn,tp,precision,recall,f1,roc_auc,pr_auc,expected_value_test,baseline_no_action_value_test,incremental_value_test,estimated_annual_value,estimated_annual_incremental_value,business_goal,benefit_tp,cost_fp,cost_fn,benefit_tn
global_conservative,ALL,XGBoost,base,0.07,2441,382,852,1565,494,24,358,0.42018779342723006,0.93717277486911,0.580226904376013,0.9309518421233304,0.7368229660623239,24000.0,-30560.0,54560.0,120000.0,272800.0,Ranking global cuando contactar usuarios tiene costo relevante.,100,-20,-80,0
max_capture,ALL,XGBoost,base,0.06,2441,382,899,1521,538,21,361,0.40155728587319245,0.9450261780104712,0.5636221701795472,0.9309518421233304,0.7368229660623239,28200.0,-45840.0,74040.0,141000.0,370200.0,Capturar la mayor cantidad posible de compradores.,100,-10,-120,0
new_visitors,New_Visitor,XGBoost,base,0.06,344,97,179,163,84,2,95,0.5307262569832403,0.979381443298969,0.6884057971014492,0.9480362285571184,0.8956555966574294,8280.0,-8730.0,17010.0,41400.0,85050.0,Contactar nuevos usuarios solo cuando hay alta probabilidad de compra.,120,-35,-90,0
returning_visitors,Returning_Visitor,LightGBM,base,0.05,2084,285,782,1289,510,13,272,0.34782608695652173,0.9543859649122807,0.5098406747891284,0.9271222804091942,0.6677150677037881,18300.0,-19950.0,38250.0,91500.0,191250.0,Activar recurrentes con menor costo de contacto y mayor tolerancia a FP.,80,-5,-70,0
