model,model_id,type,artifact_path,recommended,priority,accuracy,precision,recall,f1,roc_auc,threshold,tp,fp,fn,tn,visitors_impacted,benefit_tp_usd,cost_fp_usd,cost_fn_usd,value_tn_usd,intervention_cost_usd,net_value_usd,roi_pct,average_purchase_usd,gross_margin_pct,incentive_cost_usd,contact_cost_usd,uplift_pct,false_negative_cost_usd,true_negative_value_usd,incremental_vs_best_baseline_usd,incremental_vs_no_model_usd,difference_vs_xgboost_usd,recommendation,xgboost_value_usd,xgboost_incremental_usd,xgboost_improvement_pct
Sin modelo,baseline_no_model,operational_baseline,,False,99,0.8435067595247849,0.0,0.0,0.0,0.5,0.5,0,0,382,2059,0,0.0,-0.0,-22920.0,0.0,0.0,-22920.0,0.0,180.0,0.45,8.0,2.0,0.4,60.0,0.0,-24243.6,0.0,-24520.8,Referencia operativa para comparar decisiones sin modelo.,1600.7999999999993,24520.8,106.98429319371728
Aleatorio misma cobertura,baseline_random,operational_baseline,,False,99,0.6435886931585416,0.16483516483516483,0.31413612565445026,0.21621621621621623,0.5048554551719052,0.7099549365014338,120,608,262,1451,728,2688.0,-6080.0,-15720.0,0.0,7280.0,-19112.0,-262.5274725274725,180.0,0.45,8.0,2.0,0.4,60.0,0.0,-20435.6,3808.0,-20712.8,Referencia operativa para comparar decisiones sin modelo.,1600.7999999999993,20712.8,108.37588949351193
Intervenir a todos,baseline_intervene_all,operational_baseline,,False,99,0.15649324047521507,0.15649324047521507,1.0,0.27063407722281263,0.5,0.5,382,2059,0,0,2441,8556.8,-20590.0,-0.0,0.0,24410.0,-12033.2,-49.296190086030315,180.0,0.45,8.0,2.0,0.4,60.0,0.0,-13356.8,10886.8,-13634.0,Referencia operativa para comparar decisiones sin modelo.,1600.7999999999993,13634.0,113.30319449522986
Random Forest,random_forest_tuned,tuned,models/c_tuned_random_forest.pkl,False,3,0.8312167144612863,0.4788135593220339,0.887434554973822,0.6220183486238532,0.9277905199748772,0.15,339,369,43,1690,708,7593.599999999999,-3690.0,-2580.0,0.0,7080.0,1323.5999999999995,18.69491525423728,180.0,0.45,8.0,2.0,0.4,60.0,0.0,0.0,24243.6,-277.1999999999998,"Alternativa viable, pero debe compararse contra XGBoost y el costo de intervencion.",1600.7999999999993,277.1999999999998,20.94288304623753
Random Forest baseline,random_forest_baseline,baseline,models/c_baseline_random_forest.pkl,False,10,0.8312167144612863,0.4788135593220339,0.887434554973822,0.6220183486238532,0.9277905199748772,0.15,339,369,43,1690,708,7593.599999999999,-3690.0,-2580.0,0.0,7080.0,1323.5999999999995,18.69491525423728,180.0,0.45,8.0,2.0,0.4,60.0,0.0,0.0,24243.6,-277.1999999999998,"Alternativa viable, pero debe compararse contra XGBoost y el costo de intervencion.",1600.7999999999993,277.1999999999998,20.94288304623753
LightGBM,lightgbm_tuned,tuned,models/c_tuned_lightgbm.pkl,False,2,0.8099139696845555,0.44743589743589746,0.9136125654450262,0.6006884681583476,0.9353909156328111,0.15,349,431,33,1628,780,7817.599999999999,-4310.0,-1980.0,0.0,7800.0,1527.5999999999995,19.58461538461538,180.0,0.45,8.0,2.0,0.4,60.0,0.0,204.0,24447.6,-73.19999999999982,"Alternativa viable, pero debe compararse contra XGBoost y el costo de intervencion.",1600.7999999999993,73.19999999999982,4.791830322073832
